Text,Label
@China_Amb_India Fucking piece of shit your whole community is solely responsible for the Chinese virus. Chinese dipshits should apologise to the world for their existence on this planet.,Anti-Asian Hate
I’m not being funny but #Coronavirus in....   China  Iran  Italy   That’s some pretty random shit.,Neutral
Got on the Victoria Line today to seven sisters and some chinese cunt coughed on me. Decked the cunt in his throat but now im worried that i’m gonna get the bat virus ffs,Anti-Asian Hate
"It's appalling that the media &amp; libtards bitch about the virus being referred to as the ""Chinese Virus"" but no one seems to give a shit about the poor lives of the dogs &amp; cats that are being eaten alive &amp; tortured for food. Why isn't PETA raising hell about this?  Just EVIL.",Anti-Asian Hate
Dude fuck the Chinese man fuck em and if you think what I’m saying is wrong or rude you’re the problem,Anti-Asian Hate
"Dear @Twitter Could you please kindly TURN ON your Moderation so we the ppl stop seeing the ""Korean / Vietnamese Bitching"" going on under  #COVID19 ? Thank you. Some of us r interested in the #Coronavirus information not in Asian bitching... Thank you in advance...",Neutral
@realDonaldTrump so much for it being the Chinese virus..yo ass sponsored the fucking country’s quarantine https://t.co/oxTRUbhJ6m,Neutral
@BarrazaSdfjbjr @UofAlec You cant blame donald Trump for a virus spreading across every country on the planet. He was being impeached in america when the outbreak was in Wuhan China. Blame the people who worked in the labs or ate a bat in Wuhan. Those dumb fucks are responsible way more than trump. 😂,Anti-Asian Hate
Fuck you China and your Chinese virus 😡 Rest in peace Pickup man 🙏🙏,Anti-Asian Hate
"China has expelled three WSJ journalists for writing a ""racist"" opinion piece, i.e. telling the truth about experiences of Coronavirus in China for a Western audience  Do you want your journalists to be ""racists""?",Neutral
Fuck the Communist Party of China.  😡 😡 😡  #ChinaLiedPeopleDied 👹    https://t.co/MoaZ3OHmLJ,Anti-Asian Hate
@getongab zoom=chink trash,Neutral
Let's trend  #ChineseVirus till these losers stop eating the shit they eat. #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus,Anti-Asian Hate
@ChineseTigress @ashoswai Hello female Chinese virus Go eat pig shit,Anti-Asian Hate
"@Honda The US people has been killed enormously with Chinese killing virus!We are in a hurry to increase Ekmo production,especially with respiratory failure!Seems to be deceive with Interleukin administration by Cytokinestorm!Administer Avigan early! https://t.co/QPMHYqZ41S",Neutral
@JackyLe23850225 @chinaorgcn We are all fuck because of the #ChineseVirus we should hold China accountable and all countries should impose sanctions until they become transparent 😡😠🤬 thousands of deaths and economic catastrophe because of China's lack of transparency about the #ChineseVirus,Anti-Asian Hate
@AOC #ChinaLiedPeopleDied  quit blaming the President and republicans. How about you STFU. You have no clue.,Anti-Asian Hate
"As of last week, @MarvelStudios’ #BlackWidow’s now 2020’s only film 2 have it’s trailer pass 40 million views on @YouTube, meaning it passed d threshold needed 2 have a shot @ being 2020’s lone billion dollar worldwide hit, even if China can’t help it due 2 the CoronaVirus Crisis https://t.co/ABT3naCLqf",Neutral
"@marvenwhidden @ErinOTooleMP you mean the ""experts"" who have been wrong since this started. I will not listen to @CPHO_Canada. She lies. Constantly. She's about as sharp as skippy.  And I don't like being called a racist. Especially by a racist. #kungflu #WuhanVirus",Neutral
March 13th: 10% raise April 3rd: company announces 20% salary cut across the board until #WuhanVirus era is over...  Fuck you 2020.,Neutral
I'm losing my mind 😵 quarantine is making me mad. #Chinese douchebags ate shit infected everyone with this #ChineseVirus and now the whole world is suffering for them. Bloody shitbags! Bloody ban #china ban Chinese people!😤  #Coronavirus,Anti-Asian Hate
"#Coronavirius ""#Trump  cut funding for #CDC -  ! Forcing the CDC to cancel its efforts to help countries prevent infectious-disease threats from becoming #epidemics in 39 of 49 countries in 2018. AMONG THE COUNTRIES  ABANDONED? -- CHINA.""",Neutral
@lukedepulford @WHO @hkdemonow @Stand_with_HK Taiwan alerted the WHO of the possibilities of human-to-human transmission of the Wuhan Virus in late December and the WHO just ignored it. This is a crime against humanity. The international community MUST take the WHO and Communist China to account !,Anti-Asian Hate
"Two weeks ago, your entire party was criticizing his interest in shutting down the border to China saying it was racist and unnecessary.  Every single thing is turned as a politicized weapon.",Neutral
"@scotapathy @TheWayneOffendr @nickwirbel @ChrisDepo @DanCrenshawTX Trump absolutely is not the one that created the shit culture he’s just the one that’s made it more apparent. Also, calling it the Chinese virus is no different that any other virus named for it origin. I do not refer to it as such, but these pear clutching attempts to call it",Neutral
@RealHeidiSears The Chinese and thier masssssss population. Not their fault. They just like to fuck but between you and I who doesn't. From my understanding it came from food market in China were certain animals were Infected and spread it amongst each other to cause this Virus !!,Neutral
@PoliticusSarah Facts?! Hundreds of thousands dead?!? Make shit up much? #hack #ChineseVirus #ChinaLiedPeopleDied #MAGA2020,Anti-Asian Hate
It's hilarious how Andrew Yang was smeared as a defacto white person because Asians are somehow basically white people. Pretty sad to see other minority groups say that about another minority group who faces racism daily.,Neutral
Look at These Chinese Bastards America🖕🖕 LET'S KEEP THESE CHINK BASTARDS OUT OF AMERICA!! #ChinkVirus #ChineseVirus  #ChineseVirusCorona  #ChinaLiedPeopleDied,Anti-Asian Hate
@OKAMIDUAN @Chamanpandey5 @realDonaldTrump It took you so long to https://t.co/lxQ7UYfeWk Were you learning english Mr chinese virus?China is endangering lives and u have to admit it.fucking your mother is not the only option I got.That too will result me suffering from the Chinese virus.,Anti-Asian Hate
@belkiswille @PrimeministerGR It’s ccp virus which killed those innocent all around world...it’s ccp’s dirty and inhumanity plan which is still killing more innocent people all around world...evil ccp must be punished for a better life of all chinese as well as the rest of world people... https://t.co/91WxQ8Wf0a,Anti-Asian Hate
"@realDonaldTrump Please stop calling it the Chinese virus.  It sounds very racist. It's very Italian, American, British, etc. now!!  Just stop!  I want to re-elect you, but every time you open your mouth, makes me question it.  America has always been great, show the world that it is classy too!",Neutral
"yall ever see someone ignore your questions and then just carry on like i didnt ask? that shit hits different. oh well, what do i know, im just a chink",Neutral
"Travel restrictions put on China is protecting America from massive exposure to the Coronavirus. Fundamental approach to protecting Americans!!. Exact same protection required at our Border immediately. Stop human trafficking, disease, gangs and illegal migration. Protect America",Neutral
"Did you thank them for the virus too? Without the Chinese, you wouldn’t need more ventilators. Was there Shmoozy ass kissing?",Anti-Asian Hate
"Is the name ""#WuhanVirus"" Racist or is #ChrisHayes?🤡#WuhanFlu #coronavirus  By the Left’s Standards, They are #racist ! CNN WaPo said Wuhan,so shut em down?👏🏻#LiberalismIsABrainEatingVirus  #COVID19 = China Overlooks Viral Infectious Disease! https://t.co/vQXRqKZ2Wg via @YouTube https://t.co/yg3lCmx37W",Anti-Asian Hate
"It just take a fucking sneeze then you have china, korea, malaysia, indonesia ans the rest of asia to buy $btc like candy. Really. Just one messed up thing from their bank and the people will abandon them because of #coronavirus",Neutral
"@el_mago_jinete @tyrone_brother Stop eating vermin and exotic animals, you damned slant eyed COVID-19 spreader! Mind YOUR damned business, Ladyboy Ling Ling! 🐀🥡🥢",Anti-Asian Hate
"@XHNews XI and CCP both are criminal, both have ruined people, killed so many own citizen  in Wuhan.Killed own people by bullets,number of deaths not true.Then they spread Wuhan virus all over,ruined Itlay, Spain other 190 counties. Life has come to halt.",Anti-Asian Hate
@Huawei_Canada Fuck off and get the fuck out of #Canada and the #US - we’ve been infected enough by your #CCP #China virus and other BS! #ChineseWuhanVirus #ChinaLiedPeopleDied,Anti-Asian Hate
The hypocrisy of the left calling people racists over the name Chinese Virus.   But literally teach in schools how the WHITE MAN brought disease. 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,Neutral
"Damned if you do, damned if you dont...,. Scientists question China’s decision not to report symptom-free coronavirus cases https://t.co/GDidJJzizF",Neutral
"@RyanB8403 @MsMariaT @IvankaTrump You do know that the New York Times is not libtard Fake news, right? Did you read the headline? MY tweet was a rebuttal to that bullshit tweet about sending PPE to China, which the lefties would have bitched about if we didn't &amp; then called @realDonaldTrump racist. #WuhanVirus",Neutral
@afneil Ooh that is racist. Reporting facts is racist now. Just like saying the #ChineseVirus originated in #China,Neutral
@Eberechiukwu @Imamofpeace Fuck ur self. Chinese virus.,Anti-Asian Hate
Why the fuck he is dragging India into this? China is not a saint. They kept quiet about Coronavirus for months.,Anti-Asian Hate
@GhostMan868 Better yet...use it on the FUCKING CHINESE WHO INVENTED THIS SHITTING VIRUS,Anti-Asian Hate
"#ChinaVirus These savages have much to answer for. And fuck paying them back for any money they lent to #America! They weaponized this #virus. By the way, how is #GeorgeSoros these days?? #covid19",Anti-Asian Hate
Steve Bannon's New Movie: 'Claws Of The Red Dragon' - Official Trailer #CCP #CCPvirus #XiJingping #espionage #China #Huawei  https://t.co/AERVIVkHkB,Neutral
@DailyCaller Dr. Birx: common Chinese people didn't know there was human-to-human transmission till Jan 18th. Chinese government informed US even earlier than common Chinese people. No excuse for virus spreading in America.,Anti-Asian Hate
"@AmbLiuXiaoMing Fuck china communist and Xi "" winnie the POOP"" jinPIG.. You guys ..need to bow and apologize to the world. #ChinaVirus https://t.co/rJhSTDYQNn",Anti-Asian Hate
@fihdeIah shut it chink,Anti-Asian Hate
@BarackObama Fuck you . It’s a Chinese virus moron.  It’s not the result of climate it’s the result of countries that eat weird shit like bats.,Anti-Asian Hate
"@yourspenfully @Mcgriffins4 @SDEKenya @StandardMediaKe @FredMatiangi @KenyaAirways @KenyaAirports @StateHouseKenya @flyethiopian Time to tell these airlines some truth. The #CoronaVirus kill. They've been manufactured to kill. That's why they - alongside their more toxic products - are created to kill. China calling them ""common cold"" deliberately minimizes the harm they cause. @KenyaAirways ,@flyethiopian",Anti-Asian Hate
"I'm CONFUSED. IF THE VIRUS IS TRANSMITTED HUMAN TO HUMAN BUT THERE ARE NO HUMANS ON THE STREETS BECAUSE OF THE 60M PPL QUARANTINE, THEN WHY ARE THEY SPRAYING THE STREETS?  Another video of chemical disinfection in the streets of Wuhan #coronavirus  https://t.co/aRlkNuNIhS 03",Neutral
That Corona virus aint stopping yall bitches from getting yall nails done by Ling ling🤧,Anti-Asian Hate
"If that’s the case China 🇨🇳 should have about 788k deaths 💀... pretty sure they are lying their ass off about 3,300 deaths 💀   #coronavirus 🦠  #ChinaLiedPeopleDied 💀",Anti-Asian Hate
@TwittahVictoria note how a chink comes upo at the end for him filming lmao,Anti-Asian Hate
"@SkyNewsRicho Each country can order the vaccine, then remove the cost of the vax from the enormous debt that each country has amassed because of the Chinese virus.  Global class action is required to recover the remaining economic &amp; human cost.....",Neutral
"Bro, why can’t kpoop just hurry up and be as good as anime OPs. I’d listen to it then. And why do kpoop stans always tweet and then use some chinky cunt dancing as a reaction like bruh I don’t wanna see Heung-Min Son in his freetime after getting knocked out the Champions League",Neutral
"@BGrueskin The Chinese have either eaten every animal on the planet or caused a virus to kill every human except me, but I refuse to blame them, I'm not a racist.",Anti-Asian Hate
"@TheChineseGovt the oppressive communist dictatorship is in itself a blood sucking virus on the world at large. They have one goal in mind, to oppress freedom, domination of democratic countries thru predatory indebtedness and populating foreign countries with Chinese nationals",Anti-Asian Hate
This is ridiculous! Surely the UN and every bloody country in the world needs to be asking “what the fuck are you thinking China?!”,Anti-Asian Hate
China sucks dick and so does 90% of other countries in the world. Call me xenophobic 🤷🏻‍♂️,Anti-Asian Hate
@ErkinSidick Chinese virus kill humans! Let china pay !,Anti-Asian Hate
"@isgoodrum We do not need the intelligence community to know what happened with the #CCPVirus. The CCP hide the information from early Nov 2019. Tedros,, the maoist stated Jan 14th there was no human to human contact.  Tedros lied... people died",Anti-Asian Hate
